id,feat_0,feat_1
L_UK,0,0
L_UG,0,0
L_GM,0,0
L_AF,0,0
L_US,0,0
L_-1456928,0,0
L_IS,0,0
L_IR,0,0
L_CH,0,0
L_LY,0,0
L_KN,0,0
L_SY,0,0
L_617565,0,0
L_ME,0,0
L_NH,0,0
L_IL,0,0
L_423587,0,0
L_NY,0,0
L_AR,0,0
L_GA,0,0
L_SC,0,0
L_351615,0,0
L_531871,0,0
L_KY,0,0
L_WA,0,0
L_1512650,0,0
L_277593,0,0
L_CA,0,0
L_11289149,0,0
L_NI,0,0
L_RS,0,0
L_HI,0,0
L_TX,0,0
L_-2552151,0,0
L_SZ,0,0
L_44784,0,0
L_43540,0,0
L_37026,0,0
L_9866,0,0
L_12233,0,0
L_TU,0,0
L_-1506407,0,0
L_OK,0,0
L_LA,0,0
L_AL,0,0
L_SD,0,0
L_ID,0,0
L_KS,0,0
L_OH,0,0
L_ND,0,0
L_UT,0,0
L_MS,0,0
L_WV,0,0
L_JE,0,0
L_NJ,0,0
L_BB,0,0
L_1019610,0,0
L_NC,0,0
L_-2315777,0,0
L_-2324153,0,0
L_-2315775,0,0
L_MX,0,0
L_RI,0,0
L_AS,0,0
L_JA,0,0
L_RP,0,0
L_TH,0,0
L_IN,0,0
L_HK,0,0
L_-1603135,0,0
L_BR,0,0
L_PK,0,0
L_-2764584,0,0
L_-1502554,0,0
L_-1686500,0,0
L_-979186,0,0
L_BD,0,0
L_PA,0,0
L_QA,0,0
L_FR,0,0
L_-3378435,0,0
L_201738,0,0
L_SA,0,0
L_AZ,0,0
L_351604,0,0
L_1661377,0,0
L_6226960,0,0
L_MI,0,0
L_-183459,0,0
L_IZ,0,0
L_10074674,0,0
L_YM,0,0
L_292005,0,0
L_1659127,0,0
L_FL,0,0
L_1872225,0,0
L_2061704,0,0
L_1654951,0,0
L_1380948,0,0
L_1380944,0,0
L_288240,0,0
L_MY,0,0
L_-1683344,0,0
L_AK,0,0
L_VM,0,0
L_-636355,0,0
L_373252,0,0
L_295004,0,0
L_IT,0,0
L_280618,0,0
L_-121724,0,0
L_278601,0,0
L_971945,0,0
L_VA,0,0
L_-1746443,0,0
L_BE,0,0
L_MA,0,0
L_SI,0,0
L_CO,0,0
L_-110373,0,0
L_SW,0,0
L_AU,0,0
L_-1774161,0,0
L_VT,0,0
L_JO,0,0
L_RQ,0,0
L_VE,0,0
L_-121726,0,0
L_1184735,0,0
L_968914,0,0
L_943150,0,0
L_1209052,0,0
L_-290263,0,0
L_MO,0,0
L_1554161,0,0
L_1555426,0,0
L_PR,0,0
L_-246227,0,0
L_LE,0,0
L_-2960561,0,0
L_UP,0,0
L_EN,0,0
L_DA,0,0
L_PO,0,0
L_FI,0,0
L_PL,0,0
L_-1955538,0,0
L_GR,0,0
L_2083155,0,0
L_2083576,0,0
L_958473,0,0
L_-1898541,0,0
L_947193,0,0
L_958207,0,0
L_949713,0,0
L_-1442364,0,0
L_-1900988,0,0
L_-1442794,0,0
L_971189,0,0
L_RO,0,0
L_2083559,0,0
L_-2100307,0,0
L_-575268,0,0
L_-562560,0,0
L_NV,0,0
L_-1924465,0,0
L_1269993,0,0
L_TN,0,0
L_-2157420,0,0
L_-2090174,0,0
L_2083434,0,0
L_944840,0,0
L_SP,0,0
L_OR,0,0
L_945868,0,0
L_950251,0,0
L_GJ,0,0
L_-534433,0,0
L_-124710,0,0
L_-118816,0,0
L_-120271,0,0
L_RB,0,0
L_MJ,0,0
L_-2524279,0,0
L_-74897,0,0
L_-2601889,0,0
L_-797092,0,0
L_EG,0,0
L_CY,0,0
L_951781,0,0
L_SN,0,0
L_-716583,0,0
L_EI,0,0
L_-1500172,0,0
L_-1586844,0,0
L_-1413668,0,0
L_6025157,0,0
L_9221853,0,0
L_MT,0,0
L_MN,0,0
L_424258,0,0
L_765682,0,0
L_CU,0,0
L_252893,0,0
L_277566,0,0
L_246299,0,0
L_1660481,0,0
L_1656508,0,0
L_1652724,0,0
L_1652747,0,0
L_1652695,0,0
L_277294,0,0
L_1661708,0,0
L_1661474,0,0
L_1660757,0,0
L_1512327,0,0
L_1512511,0,0
L_1620965,0,0
L_465941,0,0
L_958547,0,0
L_627105,0,0
L_1621003,0,0
L_IA,0,0
L_1617959,0,0
L_-2403003,0,0
L_-1661292,0,0
L_-575271,0,0
L_-572433,0,0
L_BA,0,0
L_-2767043,0,0
L_BO,0,0
L_-1703344,0,0
L_-1364995,0,0
L_-2599299,0,0
L_-2591658,0,0
L_AM,0,0
L_-1306424,0,0
L_MV,0,0
L_-2403010,0,0
L_SF,0,0
L_NO,0,0
L_-1563952,0,0
L_-2689503,0,0
L_-2696070,0,0
L_-2679652,0,0
L_CB,0,0
L_GL,0,0
L_-73644,0,0
L_-73687,0,0
L_-73252,0,0
L_1659564,0,0
L_NR,0,0
L_PP,0,0
L_-2194904,0,0
L_TW,0,0
L_-3250083,0,0
L_1208256,0,0
L_-240905,0,0
L_-235402,0,0
L_-1652093,0,0
L_-1676563,0,0
L_-1683491,0,0
L_-559999,0,0
L_-2587759,0,0
L_-2601145,0,0
L_-2598837,0,0
L_-2590629,0,0
L_JM,0,0
L_-2590321,0,0
L_-2590320,0,0
L_-2593896,0,0
L_-2592349,0,0
L_-2599539,0,0
L_-2598794,0,0
L_-2595386,0,0
L_882271,0,0
L_884847,0,0
L_277572,0,0
L_NL,0,0
L_NZ,0,0
L_1384151,0,0
L_1383908,0,0
L_-631589,0,0
L_-655150,0,0
L_1661052,0,0
L_273472,0,0
L_-574890,0,0
L_1326391,0,0
L_1307240,0,0
L_WI,0,0
L_1639776,0,0
L_1380946,0,0
L_1660232,0,0
L_BL,0,0
L_-1658079,0,0
L_-938457,0,0
L_EC,0,0
L_-1153951,0,0
L_1510840,0,0
L_SU,0,0
L_10315283,0,0
L_1615906,0,0
L_-2437894,0,0
L_-781545,0,0
L_-2115275,0,0
L_KE,0,0
L_IV,0,0
L_DE,0,0
L_-228029,0,0
L_1531897,0,0
L_1688166,0,0
L_1662328,0,0
L_-719617,0,0
L_-390625,0,0
L_-713955,0,0
L_-372490,0,0
L_BG,0,0
L_-666610,0,0
L_KV,0,0
L_-2588743,0,0
L_-94831,0,0
L_-631243,0,0
L_-233817,0,0
L_11371887,0,0
L_-3376099,0,0
L_-3377631,0,0
L_-3377342,0,0
L_11358713,0,0
L_CE,0,0
L_UY,0,0
L_NU,0,0
L_-229436,0,0
L_292760,0,0
L_MD,0,0
L_593667,0,0
L_-2604405,0,0
L_LU,0,0
L_-2895144,0,0
L_-1592100,0,0
L_-1555196,0,0
L_-1585031,0,0
L_-1555489,0,0
L_-1561728,0,0
L_-1556648,0,0
L_-1607427,0,0
L_-1353284,0,0
L_1577901,0,0
L_NM,0,0
L_-3253342,0,0
L_-3714993,0,0
L_11065538,0,0
L_10205777,0,0
L_223812,0,0
L_1652672,0,0
L_-2611120,0,0
L_957042,0,0
L_625837,0,0
L_-3714825,0,0
L_-1907151,0,0
L_ZA,0,0
L_1536620,0,0
L_-1161556,0,0
L_10771269,0,0
L_-1911104,0,0
L_BU,0,0
L_CI,0,0
L_10073728,0,0
L_10884162,0,0
L_-1924159,0,0
L_-840131,0,0
L_-1628751,0,0
L_ES,0,0
L_-1143721,0,0
L_GT,0,0
L_PM,0,0
L_-645385,0,0
L_ET,0,0
L_SO,0,0
L_-3227437,0,0
L_LT,0,0
L_-1923255,0,0
L_-2423906,0,0
L_-782831,0,0
L_-2592300,0,0
L_-2429328,0,0
L_-2460321,0,0
L_10999868,0,0
L_-1995499,0,0
L_-2604275,0,0
L_-2745636,0,0
L_-3865821,0,0
L_-1930588,0,0
L_-126693,0,0
L_-2637882,0,0
L_CS,0,0
L_874631,0,0
L_-2145032,0,0
L_MK,0,0
L_-95841,0,0
L_10674526,0,0
L_11018121,0,0
L_-1930318,0,0
L_11065838,0,0
L_-1918558,0,0
L_-1919149,0,0
L_BX,0,0
L_-1939637,0,0
L_-1337919,0,0
L_6064527,0,0
L_10519356,0,0
L_10650455,0,0
L_HR,0,0
L_531568,0,0
L_9204153,0,0
L_-440623,0,0
L_-440595,0,0
L_AY,0,0
L_-1224926,0,0
L_BF,0,0
L_-1771146,0,0
L_-3055109,0,0
L_AE,0,0
L_971827,0,0
L_-2106102,0,0
L_-2589607,0,0
L_655030,0,0
L_650513,0,0
L_-2554935,0,0
L_-2700387,0,0
L_KZ,0,0
L_-1018225,0,0
L_-3108112,0,0
L_6021029,0,0
L_-1506402,0,0
L_MU,0,0
L_-640669,0,0
L_GB,0,0
L_-2103041,0,0
L_6071361,0,0
L_-3082174,0,0
L_-3051014,0,0
L_-3071225,0,0
L_6013426,0,0
L_529313,0,0
L_-1913840,0,0
L_155512,0,0
L_-1937457,0,0
L_10555097,0,0
L_10807448,0,0
L_10074419,0,0
L_10995139,0,0
L_-1904001,0,0
L_10721960,0,0
L_-2606430,0,0
L_-2092174,0,0
L_-2113996,0,0
L_UV,0,0
L_-1453409,0,0
L_-1409905,0,0
L_-2167973,0,0
L_-19310,0,0
L_-121459,0,0
L_-1724153,0,0
L_NG,0,0
L_ML,0,0
L_-572640,0,0
L_-568395,0,0
L_-3414754,0,0
L_-2098232,0,0
L_HO,0,0
L_-3093009,0,0
L_1351989,0,0
L_-2591191,0,0
L_-2604050,0,0
L_-2598406,0,0
L_-2604914,0,0
L_-2597528,0,0
L_-2598067,0,0
L_-2600817,0,0
L_11482853,0,0
L_10521711,0,0
L_10711242,0,0
L_-1938815,0,0
L_240639,0,0
L_-2590251,0,0
L_1614476,0,0
L_MZ,0,0
L_-399916,0,0
L_-1240261,0,0
L_GH,0,0
L_315383,0,0
L_-1988,0,0
L_-17243,0,0
L_-17505,0,0
L_-1987,0,0
L_-1585674,0,0
L_-755070,0,0
L_462484,0,0
L_413953,0,0
L_NE,0,0
L_-388528,0,0
L_-1366542,0,0
L_-2621891,0,0
L_-352647,0,0
L_-2440507,0,0
L_-2441814,0,0
L_11212207,0,0
L_10797318,0,0
L_11293128,0,0
L_1064673,0,0
L_-1241138,0,0
L_-1248738,0,0
L_DC,0,0
L_-2604058,0,0
L_-2601897,0,0
L_-2601130,0,0
L_6111831,0,0
L_-2762812,0,0
L_-249096,0,0
L_-2438666,0,0
L_-2418282,0,0
L_-2449507,0,0
L_-2092511,0,0
L_-1669612,0,0
L_-237002,0,0
L_-567826,0,0
L_-960192,0,0
L_-373694,0,0
L_1658037,0,0
L_-2602512,0,0
L_2060112,0,0
L_6388271,0,0
L_-564290,0,0
L_1066654,0,0
L_632213,0,0
L_645435,0,0
L_424254,0,0
L_406050,0,0
L_-575075,0,0
L_10385368,0,0
L_11285901,0,0
L_-1922199,0,0
L_-1905584,0,0
L_-1908366,0,0
L_PE,0,0
L_204226,0,0
L_-1295554,0,0
L_-2579372,0,0
L_UZ,0,0
L_-2577285,0,0
L_1652686,0,0
L_270512,0,0
L_-1754738,0,0
L_-2017355,0,0
L_2571032,0,0
L_TD,0,0
L_TZ,0,0
L_HA,0,0
L_-2590919,0,0
L_-2597039,0,0
L_-1156174,0,0
L_-1907161,0,0
L_-2590884,0,0
L_-1561891,0,0
