id,feat_0,feat_1
O_london school of tropical medicine,0,0
O_supreme court,0,0
O_european union,0,0
O_covington catholic high school,0,0
O_united states,0,0
O_zacks investment research,0,0
O_nasdaq,0,0
O_news center maine,0,0
O_skyworks solutions,0,0
O_police superintendent eddie johnson,0,0
O_ap legal affairs writer,0,0
O_justice department,0,0
O_associated press,0,0
O_u s justice department,0,0
O_chicago police department,0,0
O_white house,0,0
O_washington post,0,0
O_noble energy,0,0
O_israel supreme court,0,0
O_ratio oil,0,0
O_reuters,0,0
O_eaton,0,0
O_industrial international,0,0
O_parker-hannifin corp,0,0
O_credit suisse,0,0
O_group analyst,0,0
O_jp morgan,0,0
O_aerospace systems,0,0
O_andrew obin bank,0,0
O_barclays,0,0
O_u s circuit court,0,0
O_guttmacher institute,0,0
O_american congress,0,0
O_twitter,0,0
O_christie,0,0
O_team of vipers,0,0
O_national council on substance abuse,0,0
O_barbados drug information network,0,0
O_mt darwin high school,0,0
O_bloomberg,0,0
O_toyota,0,0
O_amazon inc,0,0
O_bonds,0,0
O_federal reserve,0,0
O_david patrick rochester deutsche bank ag analyst,0,0
O_matthew keating barclays,0,0
O_brody preston piper jaffray companies analyst,0,0
O_investors bancorp,0,0
O_deutsche bank,0,0
O_jersey neighborhood revitalization tax credit program,0,0
O_senior business development,0,0
O_investor bancorp,0,0
O_laurie havener hunsicker compass point research trading,0,0
O_investors bancorp fourth quarter earnings conference call,0,0
O_investors bancorp inc,0,0
O_piper jaffray,0,0
O_savi technology inc,0,0
O_impinj inc,0,0
O_sicpa holding,0,0
O_arjo solutions,0,0
O_tracelink inc,0,0
O_avery dennison corporation,0,0
O_ampacet corporation,0,0
O_industries inc,0,0
O_trutag technologies inc,0,0
O_custom research,0,0
O_zebra technologies corporation,0,0
O_office hours call,0,0
O_research methodology,0,0
O_authentix inc,0,0
O_m company,0,0
O_company profiles,0,0
O_high research development investment,0,0
O_e st office hours call,0,0
O_research assumptions limitations,0,0
O_microtag temed ltd,0,0
O_research data,0,0
O_dna sciences inc,0,0
O_pemex,0,0
O_drilling holding,0,0
O_bloomberg latina offshore ltd,0,0
O_credit research,0,0
O_investment bank,0,0
O_global holdings inc,0,0
O_verizon media group,0,0
O_warner bros,0,0
O_verizon,0,0
O_time warner,0,0
O_yahoo,0,0
O_directv,0,0
O_bcb bancorp,0,0
O_pennsylvania department of banking,0,0
O_pennsylvania bankers association,0,0
O_johnson matthey,0,0
O_department of banking,0,0
O_pennsylvania manufacturer association insurance,0,0
O_business services,0,0
O_office products,0,0
O_kush bottles inc,0,0
O_d communications,0,0
O_advisory committee,0,0
O_office of prescription drug promotion,0,0
O_drug development,0,0
O_teva pharmaceuticals,0,0
O_innovative industrial properties inc,0,0
O_aflac,0,0
O_oval office,0,0
O_national intelligence dan coats,0,0
O_congress on,0,0
O_senate democratic,0,0
O_republicans in congress,0,0
O_wilson center,0,0
O_afghanistan institute for civil society,0,0
O_asia program,0,0
O_senate intelligence committee,0,0
O_household economics,0,0
O_college debt relief program,0,0
O_national law journal,0,0
O_skywest,0,0
O_exchange commission,0,0
O_columbus mckinnon corporation third quarter fiscal year,0,0
O_joseph logan mondillo sidoti company analyst,0,0
O_hoist interface technology,0,0
O_sidoti company,0,0
O_columbus mckinnon corp new york,0,0
O_centers for disease,0,0
O_drug enforcement administration,0,0
O_sinaloa cartel,0,0
O_energy corp,0,0
O_consumers energy way,0,0
O_republican senate majority leader mitch mcconnell,0,0
O_cnn,0,0
O_national intelligence,0,0
O_intelligence committee,0,0
O_mission brewery,0,0
O_amtrak,0,0
O_development community,0,0
O_mill creek residential trust,0,0
O_murphy oil,0,0
O_ryan todd simmons energy analyst,0,0
O_schlumberger,0,0
O_murphy oil corp,0,0
