id,feat_0,feat_1
P_buzzfeed michael cohen,0,0
P_joy behar,0,0
P_robert mueller,0,0
P_steve perry,0,0
P_leslie odom jr,0,0
P_clyde lawrence,0,0
P_sturgill simpson,0,0
P_gracie lawrence,0,0
P_alex toth,0,0
P_dejah rondeau,0,0
P_julian edelman,0,0
P_laquan mcdonald,0,0
P_donald trump,0,0
P_barack obama,0,0
P_rahm emanuel,0,0
P_jeff sessions,0,0
P_lisa madigan,0,0
P_robert dow,0,0
P_brian kemp,0,0
P_chuck schumer,0,0
P_howard schultz,0,0
P_lisa lerer,0,0
P_elizabeth warren,0,0
P_laurel tuttle,0,0
P_ronald reagan,0,0
P_los angeles,0,0
P_seth berkowitz,0,0
P_michael bloomberg,0,0
P_stacey abrams,0,0
P_david perdue,0,0
P_rebecca manning,0,0
P_bill clinton,0,0
P_martha stewart,0,0
P_kirsten gillibrand,0,0
P_steve beshear,0,0
P_mark zito,0,0
P_michael wei yueh liu,0,0
P_dongyuan li,0,0
P_derek tung,0,0
P_wen rui deng,0,0
P_louis vuitton,0,0
P_elaine hardcastle,0,0
P_jeffrey heller,0,0
P_fabian durazo,0,0
P_kristina howato,0,0
P_america merrill lynch,0,0
P_julian mitchell,0,0
P_tom williams,0,0
P_jamie cook,0,0
P_nathan jones,0,0
P_david raso,0,0
P_julian mitchell barclays,0,0
P_andy casey,0,0
P_thomas l williams,0,0
P_cathy suever,0,0
P_parker hannifin,0,0
P_catherine a suever,0,0
P_nathan jones stifel nicolaus,0,0
P_asia pacific,0,0
P_ann duignan,0,0
P_eva lawler,0,0
P_dale wakefield,0,0
P_paul kirby,0,0
P_matthew doman,0,0
P_tammi kromenaker,0,0
P_luke simons,0,0
P_doug burgum,0,0
P_stephen colbert,0,0
P_derek wallbank,0,0
P_chris christie,0,0
P_kathleen hunter,0,0
P_jared kushner,0,0
P_charles kushner,0,0
P_elizabeth wasserman,0,0
P_cliff sims,0,0
P_charles kushner jared kushner,0,0
P_terrence dopp,0,0
P_jonathan yearwood,0,0
P_john legend,0,0
P_colin kaepernick,0,0
P_kanye west,0,0
P_meek mill,0,0
P_alfred mufunga,0,0
P_emmerson mnangagwa,0,0
P_reade pickert,0,0
P_christopher anstey,0,0
P_adam haigh,0,0
