id,feat_0,feat_1
S_wsfm.com.au,0,0
S_yahoo.com,0,0
S_kxt.org,0,0
S_wjbq.com,0,0
S_kten.com,0,0
S_nytimes.com,0,0
S_wvah.com,0,0
S_tribtown.com,0,0
S_tucson.com,0,0
S_pressreleasepoint.com,0,0
S_nbcnews.com,0,0
S_gisbarbados.gov.bb,0,0
S_bulawayo24.com,0,0
S_tor.com,0,0
S_forbes.com,0,0
S_revolutionradio.org,0,0
S_financialexpress.com,0,0
S_lillooetnews.net,0,0
S_bbc.com,0,0
S_gov.uk,0,0
S_mcall.com,0,0
S_malawi24.com,0,0
S_lgcplus.com,0,0
S_wmcactionnews5.com,0,0
S_kvpionline.com,0,0
S_origin-businesstoday.intoday.in,0,0
S_whcuradio.com,0,0
S_calgaryherald.com,0,0
S_business-standard.com,0,0
S_liverpoolecho.co.uk,0,0
S_thefrisky.com,0,0
S_greekherald.com,0,0
S_reuters.com,0,0
S_radiofarda.com,0,0
S_metro.co.uk,0,0
S_eldis.org,0,0
S_929thelake.com,0,0
S_hotnewhiphop.com,0,0
S_slate.com,0,0
S_wgcu.org,0,0
S_iheart.com,0,0
S_wickedlocal.com,0,0
S_leinsterexpress.ie,0,0
S_simcoereformer.ca,0,0
S_chron.com,0,0
S_perrynewspapers.com,0,0
S_abc7.com,0,0
S_netscape.com,0,0
S_go.com,0,0
S_webhostingtalk.com,0,0
S_joker.com,0,0
S_houstonchronicle.com,0,0
S_gasworld.com,0,0
S_oann.com,0,0
S_politifact.com,0,0
S_crowrivermedia.com,0,0
S_radiousa.com,0,0
S_microsoft.com,0,0
S_europa-nu.nl,0,0
S_worldbank.org,0,0
S_tapinto.net,0,0
S_sharenet.co.za,0,0
S_ehfcl.com,0,0
S_politicaldog101.com,0,0
S_publicopiniononline.com,0,0
S_southwalesargus.co.uk,0,0
S_knue.com,0,0
S_ktla.com,0,0
S_stuff.co.nz,0,0
S_investegate.co.uk,0,0
S_freshplaza.com,0,0
S_bigblueview.com,0,0
S_oilprice.com,0,0
S_en.trend.az,0,0
S_bangkokpost.com,0,0
S_abbynews.com,0,0
S_wsaz.com,0,0
S_worldpoliticsreview.com,0,0
S_popsugar.com,0,0
S_gazetteherald.co.uk,0,0
S_naplesherald.com,0,0
S_hartlepoolmail.co.uk,0,0
S_csnews.com,0,0
S_kspr.com,0,0
S_kyma.com,0,0
S_kshb.com,0,0
S_wlos.com,0,0
S_globegazette.com,0,0
S_wkyt.com,0,0
S_patch.com,0,0
S_globalnews.ca,0,0
S_cardchronicle.com,0,0
S_thehindubusinessline.com,0,0
S_wiltshiretimes.co.uk,0,0
S_insidethegames.biz,0,0
S_wnmufm.org,0,0
S_gwdtoday.com,0,0
S_cbslocal.com,0,0
S_ktar.com,0,0
S_godanriver.com,0,0
S_sudbury.com,0,0
S_thestar.com.my,0,0
S_fayobserver.com,0,0
S_kearneyhub.com,0,0
S_wtok.com,0,0
S_openpr.com,0,0
S_woodworkingnetwork.com,0,0
S_forimmediaterelease.net,0,0
S_english.wafa.ps,0,0
S_jpost.com,0,0
S_animalforum.com,0,0
S_starlocalmedia.com,0,0
S_rcps.info,0,0
S_fox23maine.com,0,0
S_cravenherald.co.uk,0,0
S_theworldlink.com,0,0
S_californiahealthline.org,0,0
S_foxnews.com,0,0
S_940wfaw.com,0,0
S_989magicfm.com,0,0
S_guardian.bz,0,0
S_janes.com,0,0
S_canindia.com,0,0
S_whdh.com,0,0
S_washingtonpost.com,0,0
S_sunherald.com,0,0
S_fredericksburg.com,0,0
S_upi.com,0,0
S_wkyc.com,0,0
S_eurohoops.net,0,0
S_simcoe.com,0,0
S_castanet.net,0,0
S_middleeaststar.com,0,0
S_abc.net.au,0,0
S_zdnet.com,0,0
S_therealdeal.com,0,0
S_q107.com,0,0
S_redmond-reporter.com,0,0
S_ew.com,0,0
S_dailypost.ng,0,0
S_wbal.com,0,0
S_interior-news.com,0,0
S_floridatoday.com,0,0
S_ktep.org,0,0
S_thebahamasweekly.com,0,0
S_thedailybeast.com,0,0
S_zerohedge.com,0,0
S_uaeinteract.com,0,0
S_dailytelegraph.com.au,0,0
S_allafrica.com,0,0
S_fox26houston.com,0,0
S_timesandstar.co.uk,0,0
S_greentechmedia.com,0,0
S_thestar.com,0,0
S_wired2fish.com,0,0
S_columbiamissourian.com,0,0
S_arktimes.com,0,0
S_prnewswire.com,0,0
S_krdo.com,0,0
S_eprretailnews.com,0,0
S_thedailytimes.com,0,0
S_easternontarionetwork.com,0,0
S_kicks105.com,0,0
S_hubspot.com,0,0
S_twocircles.net,0,0
S_pcgamesn.com,0,0
S_yourerie.com,0,0
S_businesswire.com,0,0
S_marketscreener.com,0,0
S_easternmirrornagaland.com,0,0
S_cbncompass.ca,0,0
S_clickondetroit.com,0,0
S_newsroompanama.com,0,0
S_dailymirror.lk,0,0
S_actionnewsjax.com,0,0
S_thepeninsulaqatar.com,0,0
S_rediff.com,0,0
S_oleantimesherald.com,0,0
S_marketwatch.com,0,0
S_tricitynews.com,0,0
S_union-bulletin.com,0,0
S_wsoctv.com,0,0
S_sify.com,0,0
S_aol.co.uk,0,0
S_taiwannews.com.tw,0,0
S_fort-russ.com,0,0
S_wisbechstandard.co.uk,0,0
S_timesnownews.com,0,0
S_arkansasbusiness.com,0,0
S_fox8.com,0,0
S_cbs19.tv,0,0
S_howng.com,0,0
S_thedailyreporteronline.com,0,0
S_beaumontenterprise.com,0,0
S_stalbansreview.co.uk,0,0
S_eaworldview.com,0,0
S_guidrynews.com,0,0
S_peacefmonline.com,0,0
S_pinkvilla.com,0,0
S_570news.com,0,0
S_thisiswiltshire.co.uk,0,0
S_ghananewsagency.org,0,0
S_921fuelfm.com,0,0
S_indiatimes.com,0,0
S_iol.co.za,0,0
S_dispatchtribunal.com,0,0
S_morningstaronline.co.uk,0,0
S_krcb.org,0,0
S_classicalfm.ca,0,0
S_wlsam.com,0,0
S_al.com,0,0
S_policeone.com,0,0
S_plainsisd.net,0,0
S_benzinga.com,0,0
S_wthr.com,0,0
S_oranews.tv,0,0
S_gossipcop.com,0,0
S_dailypost.co.uk,0,0
S_lasvegasnow.com,0,0
S_express.co.uk,0,0
S_wsbtv.com,0,0
S_eenews.net,0,0
S_hotair.com,0,0
S_fetchyournews.com,0,0
S_wndu.com,0,0
S_denofgeek.com,0,0
S_state.gov,0,0
S_indystar.com,0,0
S_hnn.us,0,0
S_reporter.bz,0,0
S_tampabay.com,0,0
S_cosmopolitan.com,0,0
S_missoulian.com,0,0
S_dailyjournal.net,0,0
S_chicagotribune.com,0,0
S_capitalpress.com,0,0
S_mohavedailynews.com,0,0
S_princegeorgecitizen.com,0,0
S_telegraph.co.uk,0,0
S_miamiherald.com,0,0
S_kshe95.com,0,0
S_soundonsound.com,0,0
S_johnmenadue.com,0,0
S_newcountry991.com,0,0
S_991thewhale.com,0,0
S_theintelligencer.com,0,0
S_therebel.media,0,0
S_comicsbeat.com,0,0
S_boingboing.net,0,0
S_indianexpress.com,0,0
S_journal-news.com,0,0
S_seattletimes.com,0,0
S_the-star.co.ke,0,0
S_mwcconnection.com,0,0
S_dailypolitical.com,0,0
S_crainsnewyork.com,0,0
S_nationalreview.com,0,0
S_worcesternews.co.uk,0,0
S_antiwar.com,0,0
S_khq.com,0,0
S_richmond-news.com,0,0
